Model,battery_health,battery_renew,screen_replacement,display_replacement,storage,colour,Release_Date,backglass_damages,screen_damages,availability,ios_updates,IMEI_number,Months_since_release,price_at,Exchange_rate_1_USD_to_LKR,current_price(LKR)
iphone se 2,100,False,False,False,64,Red,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,86800
iphone x,100,False,False,False,64,Space Gray,2017-11-01,False,undamaged,full-set,False,,54,2022-05-01,341.85,85200
iphone 8,88,False,False,False,64,Silver,2017-09-01,False,undamaged,full-set,False,,56,2022-05-01,341.85,54720
iphone 7 plus,100,False,False,False,128,Jet Black,2016-09-01,False,undamaged,full-set,False,,68,2022-05-01,341.85,44800
iphone 7,65,True,True,False,32,Gold,2016-09-01,False,undamaged,full-set,False,,68,2022-05-01,341.85,22400
iphone 6s plus,93,False,False,True,32,Rose Gold,2015-09-01,False,undamaged,full-set,False,,80,2022-05-01,341.85,27280
iphone 6s,62,True,False,False,32,Space Gray,2015-09-01,False,undamaged,full-set,False,,80,2022-05-01,341.85,22320
iphone se 3,100,False,False,False,256,Red,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,123900
iphone se 3,100,False,False,False,256,White,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,128620
iphone se 3,96,False,False,False,128,White,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,105400
iphone se 3,96,False,False,False,64,Black,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,102920
iphone xr,96,False,False,False,512,Blue,2018-10-01,False,undamaged,full-set,True,,43,2022-05-01,341.85,136880
iphone se 3,100,False,False,False,64,White,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,105400
iphone se 3,92,False,False,False,32,Black,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,83080
iphone se 3,99,False,False,False,32,White,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,93000
iphone se 2,100,False,False,False,256,White,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,111600
iphone se 2,100,False,False,False,256,White,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,116560
iphone se 2,100,True,False,False,128,Red,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,86800
iphone se 2,96,False,False,False,128,White,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,86800
iphone se 2,96,False,False,False,64,Black,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,84320
iphone se 2,99,False,True,False,32,White,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,62000
iphone se 2,92,False,False,False,32,Black,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,64480
iphone se 2,99,False,False,False,32,White,2020-04-01,False,undamaged,full-set,True,,25,2022-05-01,341.85,74400
iphone se 3,99,False,True,False,32,Red,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,80600
iphone xs,90,False,True,False,512,Gold,2018-09-01,False,undamaged,full-set,True,,44,2022-05-01,341.85,84640
iphone se 3,100,True,False,False,128,Red,2022-03-01,False,undamaged,full-set,True,,2,2022-05-01,341.85,105400
iphone 11,99,False,False,False,64,Black,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,106400
iphone 13 mini,75,True,True,False,256,Pink,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,147000
iphone 13 mini,92,False,False,False,128,Green,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,135600
iphone xs max,100,True,False,True,512,Space Gray,2018-09-01,False,undamaged,full-set,True,,44,2022-05-01,341.85,133200
iphone 13 pro max,85,False,False,True,128,Gold,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,198400
iphone 13 pro,90,False,False,False,512,Sierra Blue,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,211200
iphone 13 pro,82,False,False,False,128,Graphite,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,186000
iphone 13,87,True,False,False,256,Red,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,171300
iphone 13,100,False,False,False,128,Midnight,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,155000
iphone 13,100,False,False,False,128,Starlight,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,155000
iphone 12 pro max,90,False,True,False,512,Pacific Blue,2020-10-01,False,undamaged,full-set,True,,19,2022-05-01,341.85,172800
iphone 12 pro,97,False,False,False,256,Graphite,2020-10-01,False,undamaged,full-set,True,,19,2022-05-01,341.85,145600
iphone 12,78,True,False,False,128,White,2020-10-01,False,undamaged,full-set,True,,19,2022-05-01,341.85,117600
iphone 13 pro max,80,True,False,False,512,Graphite,2021-09-01,False,undamaged,full-set,True,,8,2022-05-01,341.85,272800
iphone 11 pro max,76,True,True,False,512,Midnight Green,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,118000
iphone 12,93,False,False,False,64,Blue,2020-10-01,False,undamaged,full-set,True,,19,2022-05-01,341.85,106400
iphone 11,92,False,False,False,64,White,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,103680
iphone 11,100,False,False,False,128,Green,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,124400
iphone 11,96,False,False,False,128,Purple,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,122240
iphone 11,96,False,False,False,256,White,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,124400
iphone 11,99,False,True,False,64,Red,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,101200
iphone 11,100,False,False,False,512,Green,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,152400
iphone 11,98,False,False,False,512,Purple,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,146400
iphone 11 pro,78,True,False,False,256,Gold,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,100300
iphone 11,100,True,False,False,256,Red,2019-09-01,False,undamaged,full-set,True,,32,2022-05-01,341.85,124400
iphone xs max,98,True,False,True,512,Space Gray,2018-09-01,False,undamaged,full-set,True,,50,2022-11-01,363.3,127440
iphone 11,100,True,False,False,256,Red,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,123900
iphone 11,97,False,False,False,64,Black,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,112100
iphone 11,90,False,False,False,64,White,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,102660
iphone 11,97,False,True,False,64,Red,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,100300
iphone 11,98,False,False,False,128,Green,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,123900
iphone xs,88,False,True,False,512,Gold,2018-09-01,False,undamaged,full-set,True,,50,2022-11-01,363.3,84960
iphone 11,94,False,False,False,128,Purple,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,121540
iphone 11,94,False,False,False,256,White,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,123900
iphone 11,100,False,False,False,512,Green,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,154580
iphone 12,78,True,False,False,128,White,2020-10-01,False,undamaged,full-set,True,,25,2022-11-01,363.3,123900
iphone 11 pro,78,True,False,False,256,Gold,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,100300
iphone 11 pro max,76,True,True,False,512,Midnight Green,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,118000
iphone 12,95,False,False,False,64,Blue,2020-10-01,False,undamaged,full-set,True,,25,2022-11-01,363.3,112100
iphone 12 pro,97,False,False,False,256,Graphite,2020-10-01,False,undamaged,full-set,True,,25,2022-11-01,363.3,153400
iphone 12 pro max,90,False,True,False,512,Pacific Blue,2020-10-01,False,undamaged,full-set,True,,25,2022-11-01,363.3,188800
iphone 13,100,False,False,False,128,Starlight,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,147500
iphone 13,100,False,False,False,128,Midnight,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,147500
iphone 13,87,True,False,False,256,Red,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,159300
iphone x,100,False,False,False,64,Space Gray,2017-11-01,False,undamaged,full-set,False,,60,2022-11-01,363.3,81420
iphone 11,98,False,False,False,512,Purple,2019-09-01,False,undamaged,full-set,True,,38,2022-11-01,363.3,149860
iphone 8,86,False,False,False,64,Silver,2017-09-01,False,undamaged,full-set,False,,62,2022-11-01,363.3,53100
iphone se 3,94,False,False,False,64,Black,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,97940
iphone 7,65,True,True,False,32,Gold,2016-09-01,False,undamaged,full-set,False,,74,2022-11-01,363.3,23600
iphone 13 pro,88,False,False,False,128,Graphite,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,177000
iphone se 3,94,False,False,False,128,White,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,100300
iphone se 3,98,False,False,False,64,White,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,100300
iphone se 2,97,False,False,False,32,White,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,70800
iphone se 2,90,False,False,False,32,Black,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,61360
iphone se 2,97,False,True,False,32,White,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,59000
iphone se 2,98,False,False,False,64,Red,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,82600
iphone se 2,94,False,False,False,64,Black,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,80240
iphone se 2,94,False,False,False,128,White,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,82600
iphone 7 plus,98,False,False,False,128,Jet Black,2016-09-01,False,undamaged,full-set,False,,74,2022-11-01,363.3,47200
iphone se 2,100,True,False,False,128,Red,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,82600
iphone se 2,98,False,False,False,256,White,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,106200
iphone se 3,97,False,False,False,32,White,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,88500
iphone se 3,90,False,False,False,32,Black,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,79060
iphone se 3,97,False,True,False,32,Red,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,76700
iphone se 3,100,True,False,False,128,Red,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,100300
iphone se 3,100,False,False,False,256,White,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,128620
iphone se 3,98,False,False,False,256,Red,2022-03-01,False,undamaged,full-set,True,,8,2022-11-01,363.3,123900
iphone 6s,62,True,False,False,32,Space Gray,2015-09-01,False,undamaged,full-set,False,,86,2022-11-01,363.3,21240
iphone 6s plus,91,False,False,True,32,Rose Gold,2015-09-01,False,undamaged,full-set,False,,86,2022-11-01,363.3,25960
iphone se 2,100,False,False,False,256,White,2020-04-01,False,undamaged,full-set,True,,31,2022-11-01,363.3,110920
iphone 13 pro,96,False,False,False,512,Sierra Blue,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,212400
iphone xr,96,False,False,False,512,Blue,2018-10-01,False,undamaged,full-set,True,,49,2022-11-01,363.3,136880
iphone 13 pro max,80,True,False,False,512,Graphite,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,259600
iphone 13 mini,98,False,False,False,128,Green,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,129800
iphone 13 mini,75,True,True,False,256,Pink,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,141600
iphone 13 pro max,91,False,False,True,128,Gold,2021-09-01,False,undamaged,full-set,True,,14,2022-11-01,363.3,188800
iphone 12 pro,98,False,False,False,128,White,2020-10-01,False,undamaged,full-set,False,356689110214202.0,27,2023-01-01,363.11,147500
iphone 12 pro,92,False,False,False,128,White,2020-10-01,False,undamaged,full-set,False,356690113166100.0,27,2023-01-01,363.11,147500
iphone 12 pro,94,False,False,False,128,Blue,2020-10-01,False,undamaged,full-set,False,354523338019246.0,27,2023-01-01,363.11,147500
iphone 12 pro max,100,False,False,False,256,Gold,2020-10-01,False,undamaged,full-set,False,356728110928856.0,27,2023-01-01,363.11,198240
iphone 12 pro max,99,False,False,False,256,White,2020-10-01,False,undamaged,full-set,False,354860895226560.0,27,2023-01-01,363.11,198240
iphone 12 pro max,100,False,False,False,512,Blue,2020-10-01,False,undamaged,full-set,False,356719111915513.0,27,2023-01-01,363.11,210040
iphone 13,95,False,False,False,256,White,2021-09-01,False,undamaged,full-set,False,354300906832874.0,16,2023-01-01,363.11,171100
iphone 7,76,False,False,False,128,Jet Black,2016-09-01,False,undamaged,full-set,False,,76,2023-01-01,363.11,35400
iphone 7,67,True,False,False,32,Matte Black,2016-09-01,False,undamaged,full-set,False,,76,2023-01-01,363.11,25960
iphone 8,91,False,True,False,64,Gold,2017-09-01,False,undamaged,full-set,False,,64,2023-01-01,363.11,56640
iphone 12 pro,95,False,False,False,128,White,2020-10-01,False,undamaged,full-set,False,358915486779633.0,27,2023-01-01,363.11,147500
